satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
STARLINK-38161,SPACEMOBILE-013,100106,100240,12896.48004819836,13.164497627319916,15.06107963662845,12894.955836573174,LOW,10
2026-168B,STARLINK-38186,100130,100162,12948.36044675003,13.822222400813232,84.57142141391421,12895.48599697476,LOW,10
2026-170C,TIANLIAN 3-01,100145,100172,13883.860509075066,7.326883576041575,702.1070317040841,12895.666245351531,LOW,10
STARLINK-38186,STARLINK-38212,100162,100267,12895.871294361617,14.750476064223315,2.3591841595665235,12895.824342170281,LOW,10
STARLINK-38223,GLOBALSTAR 2-R OBJECT D,100190,100328,12896.296784410963,6.394029647948841,0.0,12896.296784410963,LOW,10
STARLINK-38150,HULIANWANG DIGUI-180,100167,100205,13177.864162448956,10.79264196905744,250.6344997643656,12897.249060400509,LOW,10
STARLINK-38148,STARLINK-37375,100199,100228,12897.412523381005,2.1665783105540255,0.0,12897.412523381005,LOW,10
STARLINK-38192,STARLINK-38249,100158,100221,12898.913956645663,14.83209249961988,0.0,12898.913956645663,LOW,10
STARLINK-38044,STARLINK-38259,100115,100252,12899.002026076922,15.066102245946544,0.0,12899.002026076922,LOW,10
STARLINK-38038,STARLINK-38189,100116,100213,12899.041888101496,15.303294293039558,0.0,12899.041888101496,LOW,10
STARLINK-38120,STARLINK-38167,100120,100257,12899.16063181568,14.682641794246805,0.0,12899.16063181568,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT F,100215,100330,13011.548031331995,12.020243642185227,141.88122195045256,12899.29584096333,LOW,10
STARLINK-38030,STARLINK-38097,100118,100163,12899.360126404647,14.648447110805416,0.0,12899.360126404647,LOW,10
STARLINK-38178,STARLINK-38200,100201,100232,12900.424262568195,0.7912936425444441,0.0,12900.424262568195,LOW,10
2026-168C,STARLINK-38140,100131,100182,12954.655035225578,6.371674307503377,183.2875755481491,12901.907471823986,LOW,10
STARLINK-38185,STARLINK-38139,100202,100236,12902.094949475277,0.7397349316350865,0.0,12902.094949475277,LOW,10
STARLINK-38141,HULIANWANG DIGUI-186,100188,100211,13297.800054327357,9.333889222320598,344.6838319943348,12902.745774981015,LOW,10
STARLINK-38088,STARLINK-38252,100114,100254,12903.022650804585,14.921876374949598,0.0,12903.022650804585,LOW,10
2026-168G,STARLINK-38251,100135,100229,12908.40677227487,14.174390429235945,25.26226483033922,12903.439313372673,LOW,10
STARLINK-38251,STARLINK-38187,100229,100259,12903.484380843925,14.763919750114436,0.0,12903.484380843925,LOW,10
